address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2,mission
15 Grove Street,United States,17391,,52351,2 hours 48 min ago,170,Brattleboro Time Trade,,162,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">802-246-1199</span>
</div>","BRATTLEBORO, Vermont 05301",197,timebanks/brattleboro-time-trade,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Post Oil Solutions</span>
</div>",http://brattleboro.timebanks.org,,"Exchanging Services, Creating Connections, Strengthening Communities.   Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade.   Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community. It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy.   We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.   Brattleboro Time Trade is not affiliated with timetrade.com.   Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade.  About Brattleboro Time Trade  Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community.  It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy. We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.  Brattleboro Time Trade is not affiliated with timetrade.com.    About Brattleboro Time Trade  Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community.  It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy. We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.  Brattleboro Time Trade is not affiliated with timetrade.com."
10 Highview Lane,New Zealand,1042,,6059,1 day 12 hours ago,172,Bridge2Rocks TimeBank,,24,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">+64 3 3267087</span>
</div>","Christchurch,  8081",32,timebanks/bridge2rocks-timebank-christchurch,,http://bridge2rocks.timebanks.org,,"Being the community we want to live in!   Being a community that is safe, connected, and responsive to each others needs is the ultimate intention of Bridge2Rocks Time Exchange. This occurs when we engage with each other in ways that are caring, helpful and kind. When we exchange our knowledge, skills, and resources, it provides opportunities to deepen our understanding and respect for each other and the gifts we all have to offer. It allows us to live more co-productively."
12 Caleb's Lane,United States,10980,,26270,3 hours 28 min ago,124,Cape Ann TimeBank,,104,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">978-219-6776</span>
</div>","Rockport, Massachusetts 01966",115,timebanks/cape-ann-timebank,,http://capeann.timebanks.org,,"The mission of the Cape Ann TimeBank is to build a community among a wide range of residents of Cape Ann and to empower them to contribute to each other’s well-being through giving and receiving services.   A timebank is an alternate economy that is based on time rather than dollars. Every member’s time is valued equally and exchanged on an hour-for-hour basis.   The Cape Ann TimeBank is a network of people who show that we care about each other, rewarding people for helping each other. Once you are a member, for every hour you help another member, you earn a Time Dollar. Then you can use that Time Dollar to have a neighbor help you."
112 E. Fifth Ave.,United States,396,,913,2 days 2 hours ago,49,CARE Timebank,,11,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">715-610-0339</span>
</div>","Antigo, Wisconsin 54409",4,timebanks/care-connecting-antigos-resources-effectively-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">CoVantage Credit Union</span>
</div>",http://care.timebanks.org,,"To establish, create, nurture and maintain community exchanges of talents, good deeds, transportation that provide and assist others to have a better life. It will hopefully create a positive movement that will promote equality and build communities to trust their neighbors."
Nikiti,Greece,5,,6,1 year 6 weeks ago,2,CareTimeBank.com by Engaging Team,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">302375111444</span>
</div>","Chalkidiki, Central Macedonia 63088",0,timebanks/engaging,,http://engaging.timebanks.org,,Let's make every moment count!
"101 Nelson Street , PO Box 99",United States,834,,2044,5 hours 16 min ago,107,Cazenovia TimeBank/CRIS,,31,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">315-655-5743</span>
</div>","Cazenovia, New York 13035",33,timebanks/cris-timebank,,http://cris.timebanks.org,,My TimeBank Mission Statement
"1210 N 9th St, Unit 22",United States,none (start up),,none (start up),none (start up),4,Central Iowa Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">515-689-4647</span>
</div>","Indianola, Iowa 50125",0,timebanks/central-iowa-network,,http://centraliowa.timebanks.org,,"To foster a network of support, assistance, and trade among the community and encourage positive relationships among individuals and families connected by common goals."
1239 S. 14th Street,United States,56,,102,5 weeks 5 days ago,71,Central Lincoln Skillshare Collective,,14,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4023123158</span>
</div>","Lincoln, Nebraska 68502",14,timebanks/central-lincoln-skillshare-collective,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Near South Neighborhood Association</span>
</div>",http://lincolnskillshare.timebanks.org,,Connecting neighbors for greater self-determination and a stronger community.
"4 Settlement Road, RD 2",New Zealand,none (start up),,none (start up),none (start up),2,Central NZ Permaculture Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">63642138</span>
</div>","Otaki, Wellington 5582",0,timebanks/central-nz-permaculture-timebank,,http://nzcentralpermaculture.timebanks.org,,"This timebank records the time exchanges between permaculture enthusiasts and practitioners in the Wellington region. It provides a platform for sharing of skills and talents, promotes reciprocity and will help build a stronger permaculture community in the wider region."
"3163 Richter Street, Suite 416",Canada,none (start up),,none (start up),none (start up),5,ChangeXChange.io,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">250-860-5686</span>
</div>","Kelowna, British Columbia V1W3R4",0,timebanks/changexchangeio,,http://changexchange.timebanks.org,,"ChangeXChange constituents share the values of sustainability, interconnectedness, and time management. We are building a trusted social network that connects community members who wish to exchange favours with neighbours for Time Tokens. One Time Token = One hour of neighbour favours"
"1441 Kapiolani Blvd., Suite 1114",United States,none (start up),,none (start up),none (start up),2,Circlenomic,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(808) 468-0102</span>
</div>","Honolulu, Hawaii 96814",0,timebanks/circlenomic,,http://circlenomic.timebanks.org,,
2699 York St,United States,none (start up),,none (start up),none (start up),8,City Park Timebank,,4,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">303-817-0995</span>
</div>","Denver, Colorado 80205",4,timebanks/north-city-park-timebank,,http://citypark.timebanks.org,,Connect community members in the North City Park neighborhood.
5853 Robert Oliver Place,United States,6306,,14393,2 days 21 min ago,284,Columbia Community Exchange of Howard County,,114,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">410-884-6121</span>
</div>","Columbia, Maryland 21045",108,timebanks/columbia-community-exchange-howard-county,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">The Columbia Association</span>
</div>",http://columbia.timebanks.org,,A Mutual Sharing of Every Day Services
#404 622 Front Street,Canada,6,,18,2 weeks 3 days ago,22,Come Unity Slocan Valley TimeBank,,6,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">250-226-0006</span>
</div>","Nelson, British Columbia V1L 4B7",7,timebanks/come-unity-slocan-valley-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">WorldSign Communications Society</span>
</div>",http://slocanvalley.timebanks.org,,"Our vision is to value Time Equally and increase access to our wealth of talent and skills within the Slocan Valley.  Our mission is to create a community-wide circle of giving to encourage people to share their talents and receive, in return, help with their unmet needs.  - Meeting real needs of people in our community - Increasing access to services and resources for all individuals in our community - Identifying and putting to good use any underutilized resources in the community - Valuing all members of the community, encouraging individuals to identify the value they have to offer in spite of any real or perceived limitations - Enabling a way of giving and receiving that encourages neighbors helping neighbors - Creating connections and new relationships through the sharing of skills - Strengthening our community based on reciprocity and equality"
,,625,,7712,3 years 38 weeks ago,453,Common Wealth Time Bank,This TimeBank is currently dormant. Please email Don Hall at likeawildriver@gmail.com if you have any interest in helping to revive it. ,10,,,9,timebanks/common-wealth-time-bank,,http://manasota.timebanks.org,,A community of neighbors helping neighbors.
"333 W. Union St., 2nd Floor, Unit 1",United States,30191,,209344,4 days 1 hour ago,225,Community Exchange,,6881,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">610-820-7605</span>
</div>","Allentown, Pennsylvania 18102",6857,node/948,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighborhood Health Centers of the Lehigh Valley</span>
</div>",http://tdn.timebanks.org,,"What is it? Community Exchange is a network of individual members, clinical partners and service organizations that share skills and services in a non-monetary exchange system. Members create caring and supportive social networks by exchanging services with people within our community. All members are valued equally for their talents, skills and time; the program depends on the collective contributions and commitment of members. Through the exchanges of time and talents, members make friends, get to know neighbors, address key community health issues and help create a vibrant community working together. Our mission We use the principles of TimeBanks (TM) to cultivate and sustain a supportive social network based on reciprocity and respect to improve the health and well-being of the community. Our vision An interdependent, interconnected Lehigh Valley that supports individual and community well-being."
"2 Westview Ave, (c/o J Quinn)",United States,379,,970,4 days 2 hours ago,18,Community Sharing Exchange (CSE),,80,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">802-318-5329</span>
</div>","North Salem, New York 10560",76,timebanks/community-sharing-exchange-cse,,http://cse.timebanks.org,,"The Community Sharing Exchange (CSE) creates environments where people naturally and automatically get out of traditional patterned behaviors and mindsets no longer serving them, and instead build things that help themselves and others to thrive. CSE enhances value in the people themselves by facilitating sharing resources and learning new skills, so that we grow the most important assets of our world - the people. People do things and make the world go round, not money.     We plan to start with parts of NY, CT, and MA nearest us. Over time we hope to collaboratively network with other timebanks, Mutual Aid Network hubs, and community-building projects in the US and around the world to help people learn how timebanking and mutual aid can help them achieve their personal goals."
Aiken Way,United States,1439,,4889,2 days 1 hour ago,58,Community Skill Exchange,,41,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">916/455-9259</span>
</div>","Sacramento, California 95819",45,timebanks/community-skill-exchange-sacramento,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">none</span>
</div>",http://communityskillexchange.timebanks.org,,"Our vision is to create community wellbeing  by encouraging generosity, trust and support among Sacramento neighbors."
40 School Road,Canada,67,,111,3 days 2 hours ago,91,Community Skill Exchange-Richmond County TimeBank,"Our vision is to create individual and community well-being by encouraging equality, respect and support   “Strengthening Community One Hour at a Time”",76,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">902-587-2800</span>
</div>","L'Ardoise, Nova Scotia B0E1S0",14,timebanks/commmunity-skill-exchange-richmond-county-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Dr Kingston Memorial Community Health Centre</span>
</div>",http://richmondcounty.timebanks.org,,"Community Skill Exchange-Richmond County TimeBank mission is to create a forum in which the exchange of goods and services will strengthen the community. By promoting the skills, talents, experience and knowledge of each member and enabling reciprocity we will enrich our local economy, build positive exchanges and create an unbreakable community connection.   La mission de l’Échange de compétences – Banque de temps du comté de Richmond est de créée un forum où l’échange de bien et services renforcira nos communautés.  La promotion de compétences, habiletés, expériences et connaissances de chaque membre va enrichir notre économie locale, fonder des échanges positives et créer une connexion incassable de « communauté »."
7417 Road 506,Canada,none (start up),,none (start up),none (start up),2,Contribute and Thrive North Frontenac,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">9059800243</span>
</div>","Plevna, Ontario K0H2M0",0,timebanks/contribute-and-thrive-north-frontenac,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Canada Society</span>
</div>",http://northfrontenac.timebanks.org,,"To promote education and awareness of the Contributionism philosophy in North Frontenac, Ontario by creating and supporting the framework for local businesses operating using the Contributionism paradigm."
27730 Morton Rd.,United States,5,,22,3 years 20 weeks ago,11,Cottage In The Woods,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">832-233-8871</span>
</div>","Katy, Texas 77493",0,timebanks/cottage-woods,,http://katytx.timebanks.org,,"The time bank goal is to build a stronger community bond and ensure that both individuals and groups have the practical tools for accomplishing visionary goals. We do this work by convening, engaging, mobilizing and supporting individuals and groups, in the use of â€œTime Credits,â€ a currency of equally valued services, which creates a network of communities located in Katy Texas."
219 East Williams St,United States,22488,,68899,30 min 49 sec ago,431,Crooked River Alliance of TimeBanks,,245,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">330-807-4842</span>
</div>","Kent, Ohio 44240",290,node/1007,,http://crookedriver.timebanks.org,,"The Crooked River Alliance of TimeBanks (CRAT) collaborates with local timebanks and their members to educate, train, and share resources to strengthen neighborhoods and build a web of healthy, sustainable, and interconnected communities in the Great Lakes region."
600 West Walnut Street,United States,none (start up),,none (start up),none (start up),2,Danville Dollar Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">857-719-3183</span>
</div>","Danville, Kentucky 40422",0,timebanks/danville-dollar-timebank,,http://danvilledollars.timebanks.org,,The Danville Dollar TimeBank is committed to connecting Danville community members through the sharing of skills and passions to promote resilience and cohesiveness.
406 Elm St NW,United States,361,,1080,6 weeks 6 days ago,219,DC TimeBank,,42,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4435625856</span>
</div>","washington, District Of Columbia 20001",38,node/953,,http://dc.timebanks.org,,"The DC TimeBank builds circles of reciprocity and mutual aid, nurturing community ties, community self-sufficiency, and resilience."
1304 N. Rodney Street,United States,405,,1285,1 year 7 weeks ago,127,Delaware Hour Exchange,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">302-656-2721</span>
</div>","Wilmington, Delaware 19806-4227",0,timebanks/delaware-hour-exchange,,http://dhe.timebanks.org,,"We build and strengthen our community through the exchange of services of our members, realizing true local resilience and sustainable living."
Washingtom,United States,43,,94,1 year 25 weeks ago,42,Demonstration Site for CW,The Community Weaver 3 demonstration site.,8,,"Washington, District Of Columbia 00000",6,timebanks/demonstration-cw-3,,http://democw3.timebanks.org,,Experience the Community Weaver online TimeBanking software.
527 Boardwalk Lane,United States,4,,5,1 year 24 weeks ago,52,Denton Time Exchange,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">972-971-9345</span>
</div>","Denton, Texas 76201",1,timebanks/denton-time-exchange,,http://denton.timebanks.org,,To strengthen community solidarity by facilitating the exchange of local talents and services through mutual aid and love of neighbor.
"174 Princes Street, Post- PO Box 422",New Zealand,644,,5341,2 days 20 hours ago,100,Dunedin TimeBank,,33,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">03 4560359</span>
</div>","Dunedin,  9054",34,timebanks/dunedin-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Malcam Charitable Trust</span>
</div>",http://dunedin.timebanks.org,,Weaving community one hour at a time by completing circles of giving to each other.
804 Old Fayetteville St.,United States,none (start up),,none (start up),none (start up),8,Durham Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">919-259-4518</span>
</div>","Durham, North Carolina 27701",0,timebanks/durham-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Durham for All</span>
</div>",http://durham.timebanks.org,,The mission of the Durham Timebank is to create a space for people to interact with one another and strive to meet their own and others' needs outside of the monetary economy.
2204 River Ridge Drive,United States,none (start up),,none (start up),none (start up),4,East Asheville Neighbors Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">828-989-8591</span>
</div>","Asheville, North Carolina 28803",0,timebanks/east-asheville-neighbors-network,,http://eann.timebanks.org,,"Asheville-East Neighbors Network is a voluntary association of seniors helping seniors to facilitate aging in place. We strive to not duplicate existing private and public sources of goods and services, but rather serve as a conduit and connector to available resources and create instruments for the delivery of services where we see a need."
