address,country,focus,mission,name,notes,phone,postal,slug,sponsor,timebank,url,url_2
15 Grove Street,United States,,"Exchanging Services, Creating Connections, Strengthening Communities.   Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade.   Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community. It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy.   We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.   Brattleboro Time Trade is not affiliated with timetrade.com.   Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade.  About Brattleboro Time Trade  Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community.  It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy. We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.  Brattleboro Time Trade is not affiliated with timetrade.com.    About Brattleboro Time Trade  Brattleboro Time Trade enables the exchange of time credits, a type of community currency that anyone can earn by using their time, resources, skills or energy to help others. Each hour of service provided to another Time Trade member earns one time credit. You can spend your time credits on  services provided by any of the other members of the Time Trade. Our Mission Brattleboro Time Trade provides a forum to facilitate the exchange of goods and services for the benefit of the community.  It creates a system that connects unmet needs with untapped resources. By promoting the skills and knowledge of each member and enabling reciprocity, the organization empowers each of us to share our wealth of experience with others, thereby enriching the local economy. We share the Core Values of Time Banks throughout the world:   1. Assets We all have ways to contribute to a healthy community, even when we may not feel we have marketable skills. By recognizing that each of us has valuable assets to offer we are able to address some of today’s unmet needs by using the untapped resources available in our own communities. 2. Redefining Work Honor real work that is beyond price. Long before there was an economy based on paper money, folks worked gathering and preparing food, making shelter, keeping each other safe and healthy. This is real work that has real value that can’t and needn’t be measured in dollars. 3. Reciprocity Helping works better as a two-way street. People that only receive end up feeling dis-empowered, as though they have nothing to offer. People that only give often gain an inflated sense of their own importance. Reciprocity leads to mutual respect. 4. Community Networks and community make individuals stronger. Research shows people with social support networks have a greater overall sense of well being which correlates with enhanced health. Strong communities are able to adapt to challenging times. 5. Respect Respect for all means accountability for and to all. When we have respect for another we have greater motivation to act in a respectable manner in all our exchanges.  Brattleboro Time Trade is not affiliated with timetrade.com.",Brattleboro Time Trade,,802-246-1199,"BRATTLEBORO, Vermont 05301",timebanks/brattleboro-time-trade,Post Oil Solutions,brattleboro,http://brattleboro.timebanks.org,http://www.brattleborotimetrade.org
10 Highview Lane,New Zealand,,"Being the community we want to live in!   Being a community that is safe, connected, and responsive to each others needs is the ultimate intention of Bridge2Rocks Time Exchange. This occurs when we engage with each other in ways that are caring, helpful and kind. When we exchange our knowledge, skills, and resources, it provides opportunities to deepen our understanding and respect for each other and the gifts we all have to offer. It allows us to live more co-productively.",Bridge2Rocks TimeBank,,+64 3 3267087,"Christchurch,  8081",timebanks/bridge2rocks-timebank-christchurch,,bridge2rocks,http://bridge2rocks.timebanks.org,
12 Caleb's Lane,United States,,"The mission of the Cape Ann TimeBank is to build a community among a wide range of residents of Cape Ann and to empower them to contribute to each other’s well-being through giving and receiving services.   A timebank is an alternate economy that is based on time rather than dollars. Every member’s time is valued equally and exchanged on an hour-for-hour basis.   The Cape Ann TimeBank is a network of people who show that we care about each other, rewarding people for helping each other. Once you are a member, for every hour you help another member, you earn a Time Dollar. Then you can use that Time Dollar to have a neighbor help you.",Cape Ann TimeBank,,978-219-6776,"Rockport, Massachusetts 01966",timebanks/cape-ann-timebank,,capeann,http://capeann.timebanks.org,http://www.capeanntimebanks.org/
112 E. Fifth Ave.,United States,,"To establish, create, nurture and maintain community exchanges of talents, good deeds, transportation that provide and assist others to have a better life. It will hopefully create a positive movement that will promote equality and build communities to trust their neighbors.",CARE Timebank,,715-610-0339,"Antigo, Wisconsin 54409",timebanks/care-connecting-antigos-resources-effectively-timebank,CoVantage Credit Union,care,http://care.timebanks.org,
Nikiti,Greece,,Let's make every moment count!,CareTimeBank.com by Engaging Team,,302375111444,"Chalkidiki, Central Macedonia 63088",timebanks/engaging,,engaging,http://engaging.timebanks.org,
"101 Nelson Street , PO Box 99",United States,,My TimeBank Mission Statement,Cazenovia TimeBank/CRIS,,315-655-5743,"Cazenovia, New York 13035",timebanks/cris-timebank,,cris,http://cris.timebanks.org,http://www.callcris.org
"1210 N 9th St, Unit 22",United States,,"To foster a network of support, assistance, and trade among the community and encourage positive relationships among individuals and families connected by common goals.",Central Iowa Network,,515-689-4647,"Indianola, Iowa 50125",timebanks/central-iowa-network,,centraliowa,http://centraliowa.timebanks.org,
1239 S. 14th Street,United States,,Connecting neighbors for greater self-determination and a stronger community.,Central Lincoln Skillshare Collective,,4023123158,"Lincoln, Nebraska 68502",timebanks/central-lincoln-skillshare-collective,Near South Neighborhood Association,lincolnskillshare,http://lincolnskillshare.timebanks.org,
"4 Settlement Road, RD 2",New Zealand,,"This timebank records the time exchanges between permaculture enthusiasts and practitioners in the Wellington region. It provides a platform for sharing of skills and talents, promotes reciprocity and will help build a stronger permaculture community in the wider region.",Central NZ Permaculture Timebank,,63642138,"Otaki, Wellington 5582",timebanks/central-nz-permaculture-timebank,,nzcentralpermaculture,http://nzcentralpermaculture.timebanks.org,
"3163 Richter Street, Suite 416",Canada,,"ChangeXChange constituents share the values of sustainability, interconnectedness, and time management. We are building a trusted social network that connects community members who wish to exchange favours with neighbours for Time Tokens. One Time Token = One hour of neighbour favours",ChangeXChange.io,,250-860-5686,"Kelowna, British Columbia V1W3R4",timebanks/changexchangeio,,changexchange,http://changexchange.timebanks.org,http://www.changexchange.io
"1441 Kapiolani Blvd., Suite 1114",United States,,,Circlenomic,,(808) 468-0102,"Honolulu, Hawaii 96814",timebanks/circlenomic,,circlenomic,http://circlenomic.timebanks.org,
2699 York St,United States,,Connect community members in the North City Park neighborhood.,City Park Timebank,,303-817-0995,"Denver, Colorado 80205",timebanks/north-city-park-timebank,,citypark,http://citypark.timebanks.org,
5853 Robert Oliver Place,United States,,A Mutual Sharing of Every Day Services,Columbia Community Exchange of Howard County,,410-884-6121,"Columbia, Maryland 21045",timebanks/columbia-community-exchange-howard-county,The Columbia Association,columbia,http://columbia.timebanks.org,http://www.ColumbiaAssociation.org/Timebanks
#404 622 Front Street,Canada,,"Our vision is to value Time Equally and increase access to our wealth of talent and skills within the Slocan Valley.  Our mission is to create a community-wide circle of giving to encourage people to share their talents and receive, in return, help with their unmet needs.  - Meeting real needs of people in our community - Increasing access to services and resources for all individuals in our community - Identifying and putting to good use any underutilized resources in the community - Valuing all members of the community, encouraging individuals to identify the value they have to offer in spite of any real or perceived limitations - Enabling a way of giving and receiving that encourages neighbors helping neighbors - Creating connections and new relationships through the sharing of skills - Strengthening our community based on reciprocity and equality",Come Unity Slocan Valley TimeBank,,250-226-0006,"Nelson, British Columbia V1L 4B7",timebanks/come-unity-slocan-valley-timebank,WorldSign Communications Society,slocanvalley,http://slocanvalley.timebanks.org,
,,,A community of neighbors helping neighbors.,Common Wealth Time Bank,This TimeBank is currently dormant. Please email Don Hall at likeawildriver@gmail.com if you have any interest in helping to revive it. ,,,timebanks/common-wealth-time-bank,,manasota,http://manasota.timebanks.org,
"333 W. Union St., 2nd Floor, Unit 1",United States,,"What is it? Community Exchange is a network of individual members, clinical partners and service organizations that share skills and services in a non-monetary exchange system. Members create caring and supportive social networks by exchanging services with people within our community. All members are valued equally for their talents, skills and time; the program depends on the collective contributions and commitment of members. Through the exchanges of time and talents, members make friends, get to know neighbors, address key community health issues and help create a vibrant community working together. Our mission We use the principles of TimeBanks (TM) to cultivate and sustain a supportive social network based on reciprocity and respect to improve the health and well-being of the community. Our vision An interdependent, interconnected Lehigh Valley that supports individual and community well-being.",Community Exchange,,610-820-7605,"Allentown, Pennsylvania 18102",node/948,Neighborhood Health Centers of the Lehigh Valley,tdn,http://tdn.timebanks.org,http://tdn.timebanks.org
"2 Westview Ave, (c/o J Quinn)",United States,,"The Community Sharing Exchange (CSE) creates environments where people naturally and automatically get out of traditional patterned behaviors and mindsets no longer serving them, and instead build things that help themselves and others to thrive. CSE enhances value in the people themselves by facilitating sharing resources and learning new skills, so that we grow the most important assets of our world - the people. People do things and make the world go round, not money.     We plan to start with parts of NY, CT, and MA nearest us. Over time we hope to collaboratively network with other timebanks, Mutual Aid Network hubs, and community-building projects in the US and around the world to help people learn how timebanking and mutual aid can help them achieve their personal goals.",Community Sharing Exchange (CSE),,802-318-5329,"North Salem, New York 10560",timebanks/community-sharing-exchange-cse,,cse,http://cse.timebanks.org,
Aiken Way,United States,,"Our vision is to create community wellbeing  by encouraging generosity, trust and support among Sacramento neighbors.",Community Skill Exchange,,916/455-9259,"Sacramento, California 95819",timebanks/community-skill-exchange-sacramento,none,communityskillexchange,http://communityskillexchange.timebanks.org,
40 School Road,Canada,,"Community Skill Exchange-Richmond County TimeBank mission is to create a forum in which the exchange of goods and services will strengthen the community. By promoting the skills, talents, experience and knowledge of each member and enabling reciprocity we will enrich our local economy, build positive exchanges and create an unbreakable community connection.   La mission de l’Échange de compétences – Banque de temps du comté de Richmond est de créée un forum où l’échange de bien et services renforcira nos communautés.  La promotion de compétences, habiletés, expériences et connaissances de chaque membre va enrichir notre économie locale, fonder des échanges positives et créer une connexion incassable de « communauté ».",Community Skill Exchange-Richmond County TimeBank,"Our vision is to create individual and community well-being by encouraging equality, respect and support   “Strengthening Community One Hour at a Time”",902-587-2800,"L'Ardoise, Nova Scotia B0E1S0",timebanks/commmunity-skill-exchange-richmond-county-timebank,Dr Kingston Memorial Community Health Centre,richmondcounty,http://richmondcounty.timebanks.org,http://www.facebook.com/richmondcountytimebank
7417 Road 506,Canada,,"To promote education and awareness of the Contributionism philosophy in North Frontenac, Ontario by creating and supporting the framework for local businesses operating using the Contributionism paradigm.",Contribute and Thrive North Frontenac,,9059800243,"Plevna, Ontario K0H2M0",timebanks/contribute-and-thrive-north-frontenac,Canada Society,northfrontenac,http://northfrontenac.timebanks.org,http://contributeandthrive.com
27730 Morton Rd.,United States,,"The time bank goal is to build a stronger community bond and ensure that both individuals and groups have the practical tools for accomplishing visionary goals. We do this work by convening, engaging, mobilizing and supporting individuals and groups, in the use of â€œTime Credits,â€ a currency of equally valued services, which creates a network of communities located in Katy Texas.",Cottage In The Woods,,832-233-8871,"Katy, Texas 77493",timebanks/cottage-woods,,katytx,http://katytx.timebanks.org,http://www.cottageinthewoodsretreat.com
219 East Williams St,United States,,"The Crooked River Alliance of TimeBanks (CRAT) collaborates with local timebanks and their members to educate, train, and share resources to strengthen neighborhoods and build a web of healthy, sustainable, and interconnected communities in the Great Lakes region.",Crooked River Alliance of TimeBanks,,330-807-4842,"Kent, Ohio 44240",node/1007,,crookedriver,http://crookedriver.timebanks.org,
600 West Walnut Street,United States,,The Danville Dollar TimeBank is committed to connecting Danville community members through the sharing of skills and passions to promote resilience and cohesiveness.,Danville Dollar Timebank,,857-719-3183,"Danville, Kentucky 40422",timebanks/danville-dollar-timebank,,danvilledollars,http://danvilledollars.timebanks.org,
406 Elm St NW,United States,,"The DC TimeBank builds circles of reciprocity and mutual aid, nurturing community ties, community self-sufficiency, and resilience.",DC TimeBank,,4435625856,"washington, District Of Columbia 20001",node/953,,dc,http://dc.timebanks.org,
1304 N. Rodney Street,United States,,"We build and strengthen our community through the exchange of services of our members, realizing true local resilience and sustainable living.",Delaware Hour Exchange,,302-656-2721,"Wilmington, Delaware 19806-4227",timebanks/delaware-hour-exchange,,dhe,http://dhe.timebanks.org,
527 Boardwalk Lane,United States,,To strengthen community solidarity by facilitating the exchange of local talents and services through mutual aid and love of neighbor.,Denton Time Exchange,,972-971-9345,"Denton, Texas 76201",timebanks/denton-time-exchange,,denton,http://denton.timebanks.org,
"174 Princes Street, Post- PO Box 422",New Zealand,,Weaving community one hour at a time by completing circles of giving to each other.,Dunedin TimeBank,,03 4560359,"Dunedin,  9054",timebanks/dunedin-timebank,Malcam Charitable Trust,dunedin,http://dunedin.timebanks.org,http://groups.google.com/group/dunedin-timebank?hl=en
804 Old Fayetteville St.,United States,,The mission of the Durham Timebank is to create a space for people to interact with one another and strive to meet their own and others' needs outside of the monetary economy.,Durham Timebank,,919-259-4518,"Durham, North Carolina 27701",timebanks/durham-timebank,Durham for All,durham,http://durham.timebanks.org,
2204 River Ridge Drive,United States,,"Asheville-East Neighbors Network is a voluntary association of seniors helping seniors to facilitate aging in place. We strive to not duplicate existing private and public sources of goods and services, but rather serve as a conduit and connector to available resources and create instruments for the delivery of services where we see a need.",East Asheville Neighbors Network,,828-989-8591,"Asheville, North Carolina 28803",timebanks/east-asheville-neighbors-network,,eann,http://eann.timebanks.org,
4212 Omega Ave.,United States,,"By creating a collaborative network we help our communities overcome the financial and emotional hardships brought on by the decline of social support networks, economic system shortcomings, and environmental degradation.  Through enhanced community cohesiveness, we will support local efforts to create a future that is economically and environmentally sustainable.",Eastbay Area Reciprocity Network,,510-889-8132,"Castro Valley, California 94546",timebanks/eastbay-area-reciprocity-network-earn,,earn,http://earn.timebanks.org,
"O'Rourke Place, Whakatane -,  PO Box 2025, Kopeopeo",New Zealand,,"To weave community one thread at a time in the Eastern Bay of Plenty, New Zealand",Eastbay TimeBank,,07 308 0198,"Whakatane, Bay of Plenty 3159",node/949,,eastbay,http://eastbay.timebanks.org,
"46 Coleridge Street, Lyttelton",New Zealand,,Equipping people with skills and tools to collaboratively solve local problems and contribute to a rapidly changing world.,FabLabChch,,6421388245,"Christchurch, Canterbury 8013",timebanks/fablabchch,Fabriko Ltd.,fablabchch,http://fablabchch.timebanks.org,
1327 Hayes Ave.,United States,,To strengthen the community through economic diversification.,Fairbanks Time Bank,,(832) 566-6648,"Fairbanks, Alaska 99709",timebanks/fairbanks-time-bank,Fairbanks Climate Action Coalition,fairbanks,http://fairbanks.timebanks.org,
68 Broadway,New Zealand,,"The goal of the Far North Timebank is to create a network of people and organisations that support and empower each other, building a better community that works towards becoming more independent, sustainable and resilient.",Far North Timebank,,274973757,"Kaikohe, Northland 281",timebanks/far-north-timebank,Far North Resilient Communities Charitable Trust,farnorth,http://farnorth.timebanks.org,http://www.resilientcommunitiesfn.co.nz
175 West Sierra Avenue,United States,,"Farmster, a fiscally sponsored project of MarinLink, will serve as the land operator and proposing entity for community-based projects inspired by social agro-preneurs to generate positive change in the Arts, Community, Education, Environment and Health.",Farmster Timebank,,916-749-8970,"Cotati, California 94931",timebanks/farmster-timebank,MarinLink,farmster,http://farmster.timebanks.org,http://www.farmster.org
"1017 Ranch Road 620 S. , Suite 222",United States,,"To establish a self-care services system for licensed professionals. To build a network of trusted clinicians who believe that their own mental and physical wellness is integral to the care they provide. By participating in the co-op, these providers feel healthier and better equipped to do the work they love.",Flourish Wellness Professionals Co-Op,,512 298 3286,"Lakeway, Texas 78734",timebanks/flourish-wellness-professionals-co-op,Flourish Counseling & Mental Wellness Center,flourish,http://flourish.timebanks.org,http://www.FlourishCounselingCenter.com
256 W. Patrick Street,United States,,"""The mission of the Frederick Timebank is to nurture, inspire, and motivate a network of people to come together to create a caring, sharing, and resilient community. We envision an alternative integrated community in which individuals invest in each other's well being through reciprocity, exchanging time, talent, and service, - free from monetary capital.""",Frederick TimeBank,,617-319-1162,"Frederick, Maryland 21701",timebanks/frederick-time-bank,,frederick,http://frederick.timebanks.org,
202 29 Ave NE,Canada,,"Our mission is to support the growth of a more self-reliant, soul-inspiring neighbourhood economy that deeply fulfills ALL of its people.",GHOOD Calgary Timebank,,1 (403) 831-4503,"Calgary, Alberta T2E 2C1",timebanks/ghood-calgary,,ghoodcalgary,http://ghoodcalgary.timebanks.org,http://ghoodtimebanks.org
5811 Lindo Paseo,United States,,PAY IT FORWARD.,Girls Fraternity,,619-609-7274,"San Diego, California 92115",timebanks/girls-fraternity,Girls Fraternity,karma,http://karma.timebanks.org,http://girlsfraternity.com
50 glendale st 106,United States,,Globetable's mission is to aid and encourage time exchange within the San Francisco creative communities.,Globetable,,4154650992,"San francisco, California 94114",timebanks/globetable,,globetable,http://globetable.timebanks.org,
"930 Harvest Drive, Suite 230",United States,,"The Good Neighbors Time Bank is committed to strengthening the fabric of our communities in Southeastern Pennsylvania by celebrating our gifts and honoring how those gifts can benefit others.  We are committed to serving all of our neighbors and especially those who experience disabilities, poverty, homelessness and illness.",Good Neighbors Time Bank,,6109417012,"BlueBell, Pennsylvania 19422",timebanks/good-neighbors-time-bank,KenCrest,goodneighborstb,http://goodneighborstb.timebanks.org,http://www.goodneighborstb.org
111 S Texas St.,United States,,To create and strengthen informal support systems in the community by exchanging services.,Gospel Mission Time Bank,,575-519-4610,"Silver City, New Mexico 88061",timebanks/scgm,Silver City Gospel Mission,scgm,http://scgm.timebanks.org,http://www.silvercitygospelmission.org
Main St.,United States,,Building caring community economies through inclusive exchange of time and talent in the Great Bay region of New Hampshire.,Great Bay Timebank,,603-868-3310,"Durham, New Hampshire 03290",timebanks/great-bay-timebank,,greatbay,http://greatbay.timebanks.org,
3438 E. 137 St,United States,,To rebuild Community Spirit in the Greater Buckeye Community; and to utilize the TimeBank to better educate our children and to improve our residents' health/wellness.,Greater Buckeye Community TimeSharing,,440-321-2956,"Cleveland, Ohio 44120",timebanks/greater-cleveland-community-timebank,,gct,http://gct.timebanks.org,
17300 Van Aken Blvd,United States,,To build community through neighbors helping neighbors.,Greater Heights Community TimeBank,,216-561-4800,"Shaker Heights, Ohio 44120",timebanks/greater-heights-community-timebank,Heights Christian Church,greaterheights,http://greaterheights.timebanks.org,
10 Carden Street,Canada,,"Our mission is to connect neighbours and community members with each other, and create resilience through interconnectedness.",Guelph Wellington TimeBank,,519-836-0917,"Guelph, Ontario N1H 3A2",timebanks/guelph-wellington-timebank,Transition Guelph,gwtb,http://gwtb.timebanks.org,
29350 Maple Ave,United States,,Habitat for Humanity Choptank's time banking system aims to engage our partner families and the larger community of Dorchester and Talbot counties.,Habitat for Humanity Choptank,,4104763204,"Trappe, Maryland 21673",timebanks/habitat-humanity-choptank,Habitat for Humanity Choptank,choptank,http://choptank.timebanks.org,https://www.habitatchoptank.org/
10421 Motor City Drive,United States,,The purpose of the Healthy Outcomes Win Inc (HOW) Timebank at Timebanks.org is to maximize co-production in HOW's governance and administration.,Healthy Outcomes Win Inc,,240-389-4875,"Bethesda, Maryland 20817",timebanks/healthy-outcomes-win-inc,"Healthy Outcomes Win, Inc.",healthyoutcomeswin,http://healthyoutcomeswin.timebanks.org,http://healthyoutcomeswin.org
"140 Commonwealth Ave, History Dept",United States,,"This time bank is being set up for the students in my History of Money class to teach them about different ways of conceiving money.  As part of the class, they have been asked to participate in this time bank in order to think about what money is and what it can be.",History of Money Class At BC,,617-552-2557,"Chestnut Hill, Massachusetts 02467",timebanks/history-money-class-bc-0,,bc-historyofmoney,http://bc-historyofmoney.timebanks.org,
21 Keepsake,United States,,The mission of Hope Xchange Timebank is to promote community wellness and to reduce the incidence of suicide by extending the delivery of wellness services into our communities through a grassroots initiative. Hope Xchange Timebank will build relationships based on reciprocity that provide members with a sense of purpose; it will strengthen local and global communities by providing individuals an opportunity to be part of a solution; and it will provide support to those who are socially isolated due to mental health conditions.,Hope Xchange Timebank,,707-307-3938,"Irvine, California 92618",timebanks/hope-xchange-timebank,,hopexchange,http://hopexchange.timebanks.org,http://www.hopexchangetimebank.org/
6914 N Brookside Rd,United States,,"The Hour 4 Our World TimeBank is committed to building a sovereign, sustainable, and resilient community where everyone is equally valuable.  The Timebank is a simple, money-free, community building, alternative means of exchange, that recognizes value in every individual thereby strengthening the fabric of our community.  The Hour 4 Our World Time Exchange has three main goals:  Serve people and give them a means to serve. Strengthen the fabric of our community. Establish new relationships and meet real needs of our community members.  We recognize that each person has talents to share, and that the overall community is strengthened when neighbors help one another. For every hour that you help meet the needs of another member, you earn a time credit for the exchange. This time credit can then be redeemed for services from others, and the never-ending cycle of sharing continues. Core Values of TimeBanking Assets: We are all assets. Everyone has something to contribute. Work: Some work is beyond price. Work must be redefined to value whatever it takes to raise healthy children, build strong families, revitalize neighborhoods, make democracy work, advance social justice, and make the planet sustainable. That kind of work needs to be honored, recorded and rewarded. Reciprocity: Helping works better as a two-way street. The question: How can I help you? Needs to change so we ask: “How can we help each other build the world we both will live in?” Social Networks: We need each other. People helping each other reweave communities of support, strength and trust. Community is built upon sinking roots, building trust, creating networks that are built on mutual respect and commitment. Respect: Respect demands accountability. The voices of all must be heard and heeded so as to promote social justices and compel accountability",Hour 4 Our World,,816-256-3818,"Pleasant Valley, Missouri 64068",timebanks/hour-4-our-world,,hour4ourworld,http://hour4ourworld.timebanks.org,
"6795 E Tennessee Avenue, Suite 250",United States,,"To utilize the complimentary economy of timebanking to build community and create authentic reciprocal relationships between refugees, immigrants, and individuals from the broader faith community.",Hour Community Interfaith TimeBank,,3039290606,"Denver, Colorado 80224",timebanks/hour-community-interfaith-timebank,Colorado African Organization is the initiating organization of the timebank.,hourcommunityinterfaith,http://hourcommunityinterfaith.timebanks.org,
