address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2
112 E. Fifth Ave.,United States,393,,907,4 days 11 hours ago,49,CARE Timebank,,11,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">715-610-0339</span>
</div>","Antigo, Wisconsin 54409",4,timebanks/care-connecting-antigos-resources-effectively-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">CoVantage Credit Union</span>
</div>",http://care.timebanks.org,
Nikiti,Greece,5,,6,1 year 5 weeks ago,2,CareTimeBank.com by Engaging Team,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">302375111444</span>
</div>","Chalkidiki, Central Macedonia 63088",0,timebanks/engaging,,http://engaging.timebanks.org,
"101 Nelson Street , PO Box 99",United States,831,,2038,3 days 15 hours ago,107,Cazenovia TimeBank/CRIS,,31,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">315-655-5743</span>
</div>","Cazenovia, New York 13035",33,timebanks/cris-timebank,,http://cris.timebanks.org,
"1210 N 9th St, Unit 22",United States,none (start up),,none (start up),none (start up),4,Central Iowa Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">515-689-4647</span>
</div>","Indianola, Iowa 50125",0,timebanks/central-iowa-network,,http://centraliowa.timebanks.org,
1239 S. 14th Street,United States,56,,102,4 weeks 2 days ago,70,Central Lincoln Skillshare Collective,,16,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4023123158</span>
</div>","Lincoln, Nebraska 68502",13,timebanks/central-lincoln-skillshare-collective,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Near South Neighborhood Association</span>
</div>",http://lincolnskillshare.timebanks.org,
"4 Settlement Road, RD 2",New Zealand,none (start up),,none (start up),none (start up),2,Central NZ Permaculture Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">63642138</span>
</div>","Otaki, Wellington 5582",0,timebanks/central-nz-permaculture-timebank,,http://nzcentralpermaculture.timebanks.org,
"3163 Richter Street, Suite 416",Canada,none (start up),,none (start up),none (start up),5,ChangeXChange.io,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">250-860-5686</span>
</div>","Kelowna, British Columbia V1W3R4",0,timebanks/changexchangeio,,http://changexchange.timebanks.org,
"1441 Kapiolani Blvd., Suite 1114",United States,none (start up),,none (start up),none (start up),2,Circlenomic,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(808) 468-0102</span>
</div>","Honolulu, Hawaii 96814",0,timebanks/circlenomic,,http://circlenomic.timebanks.org,
2699 York St,United States,none (start up),,none (start up),none (start up),8,City Park Timebank,,4,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">303-817-0995</span>
</div>","Denver, Colorado 80205",4,timebanks/north-city-park-timebank,,http://citypark.timebanks.org,
5853 Robert Oliver Place,United States,6304,,14388,4 days 6 hours ago,286,Columbia Community Exchange of Howard County,,116,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">410-884-6121</span>
</div>","Columbia, Maryland 21045",106,timebanks/columbia-community-exchange-howard-county,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">The Columbia Association</span>
</div>",http://columbia.timebanks.org,
#404 622 Front Street,Canada,6,,18,1 week 10 hours ago,22,Come Unity Slocan Valley TimeBank,,6,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">250-226-0006</span>
</div>","Nelson, British Columbia V1L 4B7",7,timebanks/come-unity-slocan-valley-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">WorldSign Communications Society</span>
</div>",http://slocanvalley.timebanks.org,
,,625,,7712,3 years 36 weeks ago,453,Common Wealth Time Bank,This TimeBank is currently dormant. Please email Don Hall at likeawildriver@gmail.com if you have any interest in helping to revive it. ,10,,,9,timebanks/common-wealth-time-bank,,http://manasota.timebanks.org,
"333 W. Union St., 2nd Floor, Unit 1",United States,30189,,209340,3 weeks 15 hours ago,223,Community Exchange,,6879,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">610-820-7605</span>
</div>","Allentown, Pennsylvania 18102",6855,node/948,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Neighborhood Health Centers of the Lehigh Valley</span>
</div>",http://tdn.timebanks.org,
"2 Westview Ave, (c/o J Quinn)",United States,377,,963,2 weeks 2 days ago,18,Community Sharing Exchange (CSE),,80,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">802-318-5329</span>
</div>","North Salem, New York 10560",76,timebanks/community-sharing-exchange-cse,,http://cse.timebanks.org,
Aiken Way,United States,1427,,4876,2 days 6 hours ago,58,Community Skill Exchange,,41,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">916/455-9259</span>
</div>","Sacramento, California 95819",45,timebanks/community-skill-exchange-sacramento,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">none</span>
</div>",http://communityskillexchange.timebanks.org,
40 School Road,Canada,60,,101,4 days 11 hours ago,88,Community Skill Exchange-Richmond County TimeBank,"Our vision is to create individual and community well-being by encouraging equality, respect and support   “Strengthening Community One Hour at a Time”",76,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">902-587-2800</span>
</div>","L'Ardoise, Nova Scotia B0E1S0",17,timebanks/commmunity-skill-exchange-richmond-county-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Dr Kingston Memorial Community Health Centre</span>
</div>",http://richmondcounty.timebanks.org,
7417 Road 506,Canada,none (start up),,none (start up),none (start up),2,Contribute and Thrive North Frontenac,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">9059800243</span>
</div>","Plevna, Ontario K0H2M0",0,timebanks/contribute-and-thrive-north-frontenac,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Canada Society</span>
</div>",http://northfrontenac.timebanks.org,
27730 Morton Rd.,United States,5,,22,3 years 18 weeks ago,11,Cottage In The Woods,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">832-233-8871</span>
</div>","Katy, Texas 77493",0,timebanks/cottage-woods,,http://katytx.timebanks.org,
219 East Williams St,United States,22423,,68760,5 hours 31 min ago,426,Crooked River Alliance of TimeBanks,,244,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">330-807-4842</span>
</div>","Kent, Ohio 44240",288,node/1007,,http://crookedriver.timebanks.org,
600 West Walnut Street,United States,none (start up),,none (start up),none (start up),2,Danville Dollar Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">857-719-3183</span>
</div>","Danville, Kentucky 40422",0,timebanks/danville-dollar-timebank,,http://danvilledollars.timebanks.org,
406 Elm St NW,United States,361,,1080,5 weeks 3 days ago,219,DC TimeBank,,42,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4435625856</span>
</div>","washington, District Of Columbia 20001",38,node/953,,http://dc.timebanks.org,
1304 N. Rodney Street,United States,405,,1285,1 year 6 weeks ago,127,Delaware Hour Exchange,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">302-656-2721</span>
</div>","Wilmington, Delaware 19806-4227",0,timebanks/delaware-hour-exchange,,http://dhe.timebanks.org,
Washingtom,United States,43,,94,1 year 23 weeks ago,42,Demonstration Site for CW,The Community Weaver 3 demonstration site.,8,,"Washington, District Of Columbia 00000",6,timebanks/demonstration-cw-3,,http://democw3.timebanks.org,
527 Boardwalk Lane,United States,4,,5,1 year 23 weeks ago,52,Denton Time Exchange,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">972-971-9345</span>
</div>","Denton, Texas 76201",1,timebanks/denton-time-exchange,,http://denton.timebanks.org,
"174 Princes Street, Post- PO Box 422",New Zealand,642,,5337,3 hours 42 min ago,100,Dunedin TimeBank,,34,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">03 4560359</span>
</div>","Dunedin,  9054",35,timebanks/dunedin-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Malcam Charitable Trust</span>
</div>",http://dunedin.timebanks.org,
804 Old Fayetteville St.,United States,none (start up),,none (start up),none (start up),8,Durham Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">919-259-4518</span>
</div>","Durham, North Carolina 27701",0,timebanks/durham-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Durham for All</span>
</div>",http://durham.timebanks.org,
2204 River Ridge Drive,United States,none (start up),,none (start up),none (start up),4,East Asheville Neighbors Network,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">828-989-8591</span>
</div>","Asheville, North Carolina 28803",0,timebanks/east-asheville-neighbors-network,,http://eann.timebanks.org,
4212 Omega Ave.,United States,224,,800,9 weeks 5 days ago,92,Eastbay Area Reciprocity Network,,12,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">510-889-8132</span>
</div>","Castro Valley, California 94546",15,timebanks/eastbay-area-reciprocity-network-earn,,http://earn.timebanks.org,
"O'Rourke Place, Whakatane -,  PO Box 2025, Kopeopeo",New Zealand,5640,,19596,1 week 8 hours ago,192,Eastbay TimeBank,,35,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">07 308 0198</span>
</div>","Whakatane, Bay of Plenty 3159",36,node/949,,http://eastbay.timebanks.org,
"46 Coleridge Street, Lyttelton",New Zealand,10,,119,2 years 27 weeks ago,6,FabLabChch,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6421388245</span>
</div>","Christchurch, Canterbury 8013",0,timebanks/fablabchch,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Fabriko Ltd.</span>
</div>",http://fablabchch.timebanks.org,
1327 Hayes Ave.,United States,1,,1,26 weeks 4 days ago,5,Fairbanks Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(832) 566-6648</span>
</div>","Fairbanks, Alaska 99709",1,timebanks/fairbanks-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Fairbanks Climate Action Coalition</span>
</div>",http://fairbanks.timebanks.org,
68 Broadway,New Zealand,3,,12,30 weeks 3 days ago,33,Far North Timebank,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">274973757</span>
</div>","Kaikohe, Northland 281",1,timebanks/far-north-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Far North Resilient Communities Charitable Trust</span>
</div>",http://farnorth.timebanks.org,
175 West Sierra Avenue,United States,none (start up),,none (start up),none (start up),2,Farmster Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">916-749-8970</span>
</div>","Cotati, California 94931",0,timebanks/farmster-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">MarinLink</span>
</div>",http://farmster.timebanks.org,
"1017 Ranch Road 620 S. , Suite 222",United States,1,,1,2 years 17 weeks ago,6,Flourish Wellness Professionals Co-Op,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">512 298 3286</span>
</div>","Lakeway, Texas 78734",0,timebanks/flourish-wellness-professionals-co-op,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Flourish Counseling &amp; Mental Wellness Center</span>
</div>",http://flourish.timebanks.org,
256 W. Patrick Street,United States,721,,1599,5 days 12 hours ago,91,Frederick TimeBank,,48,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-319-1162</span>
</div>","Frederick, Maryland 21701",50,timebanks/frederick-time-bank,,http://frederick.timebanks.org,
202 29 Ave NE,Canada,1,,1,1 year 35 weeks ago,15,GHOOD Calgary Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">1 (403) 831-4503</span>
</div>","Calgary, Alberta T2E 2C1",0,timebanks/ghood-calgary,,http://ghoodcalgary.timebanks.org,
5811 Lindo Paseo,United States,none (start up),,none (start up),none (start up),1,Girls Fraternity,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">619-609-7274</span>
</div>","San Diego, California 92115",0,timebanks/girls-fraternity,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Girls Fraternity</span>
</div>",http://karma.timebanks.org,
50 glendale st 106,United States,none (start up),,none (start up),none (start up),2,Globetable,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4154650992</span>
</div>","San francisco, California 94114",0,timebanks/globetable,,http://globetable.timebanks.org,
"930 Harvest Drive, Suite 230",United States,14,,30,4 weeks 3 days ago,24,Good Neighbors Time Bank,,11,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6109417012</span>
</div>","BlueBell, Pennsylvania 19422",5,timebanks/good-neighbors-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">KenCrest</span>
</div>",http://goodneighborstb.timebanks.org,
111 S Texas St.,United States,4,,13,3 years 4 weeks ago,14,Gospel Mission Time Bank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">575-519-4610</span>
</div>","Silver City, New Mexico 88061",9,timebanks/scgm,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Silver City Gospel Mission</span>
</div>",http://scgm.timebanks.org,
Main St.,United States,513,,1165,5 days 7 hours ago,49,Great Bay Timebank,,34,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">603-868-3310</span>
</div>","Durham, New Hampshire 03290",36,timebanks/great-bay-timebank,,http://greatbay.timebanks.org,
3438 E. 137 St,United States,10,,25,3 years 3 weeks ago,8,Greater Buckeye Community TimeSharing,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">440-321-2956</span>
</div>","Cleveland, Ohio 44120",0,timebanks/greater-cleveland-community-timebank,,http://gct.timebanks.org,
17300 Van Aken Blvd,United States,59,,99,44 weeks 4 days ago,51,Greater Heights Community TimeBank,,12,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">216-561-4800</span>
</div>","Shaker Heights, Ohio 44120",12,timebanks/greater-heights-community-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Heights Christian Church</span>
</div>",http://greaterheights.timebanks.org,
10 Carden Street,Canada,326,,1282,31 weeks 7 hours ago,202,Guelph Wellington TimeBank,,102,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">519-836-0917</span>
</div>","Guelph, Ontario N1H 3A2",103,timebanks/guelph-wellington-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Transition Guelph</span>
</div>",http://gwtb.timebanks.org,
29350 Maple Ave,United States,23,,111,10 weeks 1 day ago,9,Habitat for Humanity Choptank,,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">4104763204</span>
</div>","Trappe, Maryland 21673",10,timebanks/habitat-humanity-choptank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Habitat for Humanity Choptank</span>
</div>",http://choptank.timebanks.org,
10421 Motor City Drive,United States,none (start up),,none (start up),none (start up),2,Healthy Outcomes Win Inc,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">240-389-4875</span>
</div>","Bethesda, Maryland 20817",0,timebanks/healthy-outcomes-win-inc,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Healthy Outcomes Win, Inc.</span>
</div>",http://healthyoutcomeswin.timebanks.org,
"140 Commonwealth Ave, History Dept",United States,38,,47,2 years 3 weeks ago,31,History of Money Class At BC,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-552-2557</span>
</div>","Chestnut Hill, Massachusetts 02467",0,timebanks/history-money-class-bc-0,,http://bc-historyofmoney.timebanks.org,
21 Keepsake,United States,none (start up),,none (start up),none (start up),1,Hope Xchange Timebank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">707-307-3938</span>
</div>","Irvine, California 92618",0,timebanks/hope-xchange-timebank,,http://hopexchange.timebanks.org,
6914 N Brookside Rd,United States,49,,106,1 year 35 weeks ago,42,Hour 4 Our World,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">816-256-3818</span>
</div>","Pleasant Valley, Missouri 64068",3,timebanks/hour-4-our-world,,http://hour4ourworld.timebanks.org,
"6795 E Tennessee Avenue, Suite 250",United States,25,,60,20 weeks 1 day ago,38,Hour Community Interfaith TimeBank,,19,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">3039290606</span>
</div>","Denver, Colorado 80224",19,timebanks/hour-community-interfaith-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Colorado African Organization is the initiating organization of the timebank.</span>
</div>",http://hourcommunityinterfaith.timebanks.org,
445 S. Madison St.,United States,113,,114,2 weeks 2 days ago,47,Innovative Services Employee Timebank,,9,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">920-431-0962</span>
</div>","Green Bay, Wisconsin 54301",9,timebanks/innovative-services-employee-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Innovative Services, Inc.</span>
</div>",http://isiinc.timebanks.org,
PO Box 162,United States,16,,49,18 weeks 4 days ago,66,Jefferson Community Time Bank,,8,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">617-460-5282</span>
</div>","Charles Town, West Virginia 25414",8,timebanks/jefferson-community-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Sustainable Jefferson County</span>
</div>",http://jeffersoncommunity.timebanks.org,
"45 Monmouth Rd, The White House in Oakhurst",United States,117,,189,1 year 2 weeks ago,37,Jersey Shore Timebank,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">2405052357</span>
</div>","Oakhurst, New Jersey 07755",3,timebanks/jersey-shore-timebank,,http://jerseyshore.timebanks.org,
"8 South Road, The EcoCentre",New Zealand,2160,,11046,21 hours 16 min ago,118,Kaitaia  TimeBank,,77,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">Rebecca  021 408 989</span>
</div>","Kaitaia, Northland 0410",80,timebanks/kaitaia-timebank,,http://kaitaia.timebanks.org,
